"defect,category,classification_options,active"
"2000 - Weak Seal,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2001 - Narrow Seal Margin,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2002 - Excessive Pressure,Surface / Mechanical,Critical|Class I|Class II|Class III,1"
"2003 - Hole in the Cavity,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2004A - Seal into Cavity,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2004B - Crushed Cavity / Bottle-Capping,Surface / Mechanical,Critical|Class I|Class II|Class III,1"
"2005 - Batch Print in the Cavity,Labeling & Print,Critical|Class I|Class II|Class III,1"
"2006 - Wrinkles / Pleats,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2007 - Suture in the Seal,Entrapment / Foreign Material,Critical|Class I|Class II|Class III,1"
"2008 - Needle in the Seal,Entrapment / Foreign Material,Critical|Class I|Class II|Class III,1"
"2009 - Device / Folder / Collar / Reel / Tray in the Seal,Entrapment / Foreign Material,Critical|Class I|Class II|Class III,1"
"2010 - No Top Tab,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2011 - Defective Second Seal Ribs,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2012 - Label Position Incorrect,Labeling & Print,Critical|Class I|Class II|Class III,1"
"2013 - Label Print Cut Off,Labeling & Print,Critical|Class I|Class II|Class III,1"
"2014 - Rough Edges,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2015 - Improper Die Cut,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2016 - Adhering Trim,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2017 - Double Label or Bottom Stock,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2018 - Folded Label,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2019 - Friction Coating Voids,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2020 - Delamination,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2021 - Copy Off Register,Labeling & Print,Critical|Class I|Class II|Class III,1"
"2022 - Wrong / Missing / Illegible Expiry or DOM,Labeling & Print,Critical|Class I|Class II|Class III,1"
"2023 - Smeared Labels,Labeling & Print,Critical|Class I|Class II|Class III,1"
"2024 - Incorrect Tubing Fluid Level,Functional / Fill,Critical|Class I|Class II|Class III,1"
"2025 - Open Seal,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2026 - Foreign Matter,Entrapment / Foreign Material,Critical|Class I|Class II|Class III,1"
"2027 - Heat Damage to Suture,Surface / Mechanical,Critical|Class I|Class II|Class III,1"
"2028 - Label or Notch Orientation Incorrect,Orientation / Placement,Critical|Class I|Class II|Class III,1"
"2029 - Folder Orientation Incorrect,Orientation / Placement,Critical|Class I|Class II|Class III,1"
"2030 - Sleeves Not Sticking,Functional / Fill,Critical|Class I|Class II|Class III,1"
"2031 - Splice,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2032 - Nonconforming Vent,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2033 - Blisters in Seal,Surface / Mechanical,Critical|Class I|Class II|Class III,1"
"2035 - Bar Code on Foil Package,Labeling & Print,Critical|Class I|Class II|Class III,1"
"2036 - Incorrect Flap Length,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2037 - Channels,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2038 - Fiber Tears,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2039 - Skip in Heat Seal Coating,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2040 - Tyvek in the Seal,Entrapment / Foreign Material,Critical|Class I|Class II|Class III,1"
"2041 - Heat Seal Coating Delamination,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2042 - Incorrect Wave on Terminal Sterilization Label,Labeling & Print,Critical|Class I|Class II|Class III,1"
"2043 - Incorrect Copy on Terminal Sterilization Label,Labeling & Print,Critical|Class I|Class II|Class III,1"
"2044 - Narrow Seal Margin (Tyvek Window),Seal Integrity,Critical|Class I|Class II|Class III,1"
"2045 - Multiple Layers of Tyvek,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2046 - Channel in Tyvek Window Seal,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2047 - Open Tyvek Vent Seal,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2048 - No Window in Terminal Sterilization Label Foil,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2049 - Puncture in Tyvek Over Foil Window,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2050 - Heat Damage to Tyvek Over Foil Window,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2051 - Spotty Seal (Tyvek),Seal Integrity,Critical|Class I|Class II|Class III,1"
"2052 - Void Tyvek Seal,Seal Integrity,Critical|Class I|Class II|Class III,1"
"2053 - Header Not Removed,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2054 - Baggy Pouches,Surface / Mechanical,Critical|Class I|Class II|Class III,1"
"2055 - Soft Wrinkles,Surface / Mechanical,Critical|Class I|Class II|Class III,1"
"2056 - Spotty Seal (Foil),Seal Integrity,Critical|Class I|Class II|Class III,1"
"2057 - Leakers,Functional / Fill,Critical|Class I|Class II|Class III,1"
"2058 - Incorrect Flute Margin,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2059 - Tab to Flute Measurement,Converting / Die-cut / Web,Critical|Class I|Class II|Class III,1"
"2060 - Foil Pouch Damage,Surface / Mechanical,Critical|Class I|Class II|Class III,1"
``
